place_id,name,google_category,concept,address,area,town,pincode,latitude,longitude,rating,reviews_count,price_range,website,has_phone,is_claimed,is_closed,online_order_partners,reservation_partners,menu_link,open_hours,popular_times,attributes,maps_url,stars_1,stars_2,stars_3,stars_4,stars_5
ChIJC8h7AABZqDsRJ9SnKUu2Sc8,Anu mess,Indian restaurant,Multi-cuisine / General,"2X52+H8V Anu mess, R.S. Puram, Coimbatore, Tamil Nadu 641002",R.S. Puram,Coimbatore,641002,11.008983,76.950802,4.2,649,₹1–200,,0,0,0,,,,,,"[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Delivery"",""enabled"":true},{""name"":""Takeaway"",""enabled"":true},{""name"":""Dine-in"",""enabled"":true}]},{""id"":""popular_for"",""name"":""Popular for"",""options"":[{""name"":""Lunch"",""enabled"":true},{""name"":""Dinner"",""enabled"":true},{""name"":""Solo dining"",""enabled"":true}]},{""id"":""offerings"",""name"":""Offerings"",""options"":[{""name"":""Coffee"",""enabled"":true},{""name"":""Healthy options"",""enabled"":true},{""name"":""Small plates"",""enabled"":true},{""name"":""Cuisine"",""enabled"":false,""values"":[""South Indian""]},{""name"":""Dishes"",""enabled"":false,""values"":[""Biryani""]}]},{""id"":""dining_options"",""name"":""Dining options"",""options"":[{""name"":""Lunch"",""enabled"":true},{""name"":""Dinner"",""enabled"":true},{""name"":""Table service"",""enabled"":true}]},{""id"":""atmosphere"",""name"":""Atmosphere"",""options"":[{""name"":""Casual"",""enabled"":true}]},{""id"":""crowd"",""name"":""Crowd"",""options"":[{""name"":""Groups"",""enabled"":true}]},{""id"":""payments"",""name"":""Payments"",""options"":[{""name"":""NFC mobile payments"",""enabled"":true}]},{""id"":""children"",""name"":""Children"",""options"":[{""name"":""Good for kids"",""enabled"":true}]},{""id"":""parking"",""name"":""Parking"",""options"":[{""name"":""Free street parking"",""enabled"":true}]}]",https://www.google.com/maps/place/Anu+mess/data=!4m7!3m6!1s0x3ba85900007bc80b:0xcf49b64b29a7d427!8m2!3d11.0089825!4d76.9508017!16s%2Fg%2F11xynb0spk!19sChIJC8h7AABZqDsRJ9SnKUu2Sc8?authuser=0&hl=en&g_ep=EgoyMDI2MDkxNi4wIJJjKgBIAVAD&rclk=1,35,28,62,184,340
ChIJpSpqlBxZqDsRoxsFHp2mNFI,Sri Balaji Homely Mess,South Indian restaurant,South Indian & Regional,"79, Diwan Bahadur Road, R S Puram West, near In between Wood lands showroom and aroma tea shop, Coimbatore, Tamil Nadu 641002",R.S. Puram,Coimbatore,641002,11.008745,76.950814,4.2,558,,,1,1,0,,,,"{""Friday"":[""12–4:30 pm""],""Monday"":[""12–4 pm""],""Saturday"":[""12–4 pm""],""Sunday"":[""12–6 pm""],""Thursday"":[""12–4:30 pm""],""Tuesday"":[""12–4 pm""],""Wednesday"":[""12–4 pm""]}",,"[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":false},{""name"":""Wheelchair-accessible entrance"",""enabled"":false},{""name"":""Wheelchair-accessible seating"",""enabled"":false}]}]",https://www.google.com/maps/place/Sri+Balaji+Homely+Mess/data=!4m7!3m6!1s0x3ba8591c946a2aa5:0x5234a69d1e051ba3!8m2!3d11.0087448!4d76.9508143!16s%2Fg%2F11cn3prv6_!19sChIJpSpqlBxZqDsRoxsFHp2mNFI?authuser=0&hl=en&g_ep=EgoyMDI2MDkxNi4wIJJjKgBIAVAD&rclk=1,29,15,54,156,304
ChIJoVTOCQRZqDsRIs_TVkyuFI4,Patti Amma Tiffin Stall,South Indian restaurant,South Indian & Regional,"96, VCV Rd, VCV Layout, Sukrawar Pettai, R.S. Puram, Coimbatore, Tamil Nadu 641002",R.S. Puram,Coimbatore,641002,11.008216,76.957729,3.9,858,₹1–200,,1,0,0,,,,"{""Friday"":[""6:30–11 pm""],""Monday"":[""6:30–11 pm""],""Saturday"":[""6:30–11 pm""],""Sunday"":[""6:30–11 pm""],""Thursday"":[""6:30–11 pm""],""Tuesday"":[""6:30–11 pm""],""Wednesday"":[""6:30–11 pm""]}","{""Friday"":{""10"":0,""11"":0,""12"":0,""13"":0,""14"":0,""15"":0,""16"":0,""17"":0,""18"":18,""19"":36,""20"":52,""21"":55,""22"":43,""23"":0,""6"":0,""7"":0,""8"":0,""9"":0},""Monday"":{""10"":0,""11"":0,""12"":0,""13"":0,""14"":0,""15"":0,""16"":0,""17"":0,""18"":16,""19"":29,""20"":41,""21"":46,""22"":38,""23"":0,""6"":0,""7"":0,""8"":0,""9"":0},""Saturday"":{""10"":0,""11"":0,""12"":0,""13"":0,""14"":0,""15"":0,""16"":0,""17"":0,""18"":17,""19"":38,""20"":64,""21"":77,""22"":66,""23"":0,""6"":0,""7"":0,""8"":0,""9"":0},""Sunday"":{""10"":0,""11"":0,""12"":0,""13"":0,""14"":0,""15"":0,""16"":0,""17"":0,""18"":20,""19"":51,""20"":89,""21"":100,""22"":77,""23"":0,""6"":0,""7"":0,""8"":0,""9"":0},""Thursday"":{""10"":0,""11"":0,""12"":0,""13"":0,""14"":0,""15"":0,""16"":0,""17"":0,""18"":13,""19"":25,""20"":39,""21"":44,""22"":38,""23"":0,""6"":0,""7"":0,""8"":0,""9"":0},""Tuesday"":{""10"":0,""11"":0,""12"":0,""13"":0,""14"":0,""15"":0,""16"":0,""17"":0,""18"":14,""19"":27,""20"":41,""21"":44,""22"":31,""23"":0,""6"":0,""7"":0,""8"":0,""9"":0},""Wednesday"":{""10"":0,""11"":0,""12"":0,""13"":0,""14"":0,""15"":0,""16"":0,""17"":0,""18"":12,""19"":24,""20"":35,""21"":36,""22"":27,""23"":0,""6"":0,""7"":0,""8"":0,""9"":0}}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Delivery"",""enabled"":true},{""name"":""On-site services"",""enabled"":true},{""name"":""Takeaway"",""enabled"":true},{""name"":""Dine-in"",""enabled"":true}]},{""id"":""popular_for"",""name"":""Popular for"",""options"":[{""name"":""Breakfast"",""enabled"":true},{""name"":""Lunch"",""enabled"":true},{""name"":""Dinner"",""enabled"":true},{""name"":""Solo dining"",""enabled"":true}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":false},{""name"":""Wheelchair-accessible entrance"",""enabled"":false},{""name"":""Wheelchair-accessible seating"",""enabled"":false}]},{""id"":""offerings"",""name"":""Offerings"",""options"":[{""name"":""Quick bite"",""enabled"":true},{""name"":""Small plates"",""enabled"":true},{""name"":""Vegetarian options"",""enabled"":true},{""name"":""Cuisine"",""enabled"":false,""values"":[""South Indian""]}]},{""id"":""dining_options"",""name"":""Dining options"",""options"":[{""name"":""Breakfast"",""enabled"":true},{""name"":""Lunch"",""enabled"":true},{""name"":""Dinner"",""enabled"":true},{""name"":""Table service"",""enabled"":true}]},{""id"":""atmosphere"",""name"":""Atmosphere"",""options"":[{""name"":""Casual"",""enabled"":true}]},{""id"":""crowd"",""name"":""Crowd"",""options"":[{""name"":""Groups"",""enabled"":true}]},{""id"":""planning"",""name"":""Planning"",""options"":[{""name"":""Accepts reservations"",""enabled"":false}]},{""id"":""payments"",""name"":""Payments"",""options"":[{""name"":""Debit cards"",""enabled"":true},{""name"":""NFC mobile payments"",""enabled"":true},{""name"":""Credit cards"",""enabled"":false,""values"":[""Mastercard""]}]},{""id"":""children"",""name"":""Children"",""options"":[{""name"":""Good for kids"",""enabled"":true}]},{""id"":""parking"",""name"":""Parking"",""options"":[{""name"":""Free parking lot"",""enabled"":true},{""name"":""Free street parking"",""enabled"":true}]}]",https://www.google.com/maps/place/Patti+Amma+Tiffin+Stall/data=!4m7!3m6!1s0x3ba8590409ce54a1:0x8e14ae4c56d3cf22!8m2!3d11.0082164!4d76.9577288!16s%2Fg%2F1tjddmj8!19sChIJoVTOCQRZqDsRIs_TVkyuFI4?authuser=0&hl=en&g_ep=EgoyMDI2MDkxNi4wIJJjKgBIAVAD&rclk=1,82,37,106,265,368
ChIJMRpi_BxZqDsRz_5hSyy5Syg,Tiffen House,Vegetarian restaurant,Vegetarian,"3-4, Sambandam Rd E, R.S. Puram, Coimbatore, Tamil Nadu 641002",R.S. Puram,Coimbatore,641002,11.008873,76.954821,4.4,1391,,,1,1,0,,,,"{""Friday"":[""7:30–11 am"",""6–10:30 pm""],""Monday"":[""6–10:30 pm""],""Saturday"":[""7:30–11 am"",""6–10:30 pm""],""Sunday"":[""7:30–11 am"",""6–10:30 pm""],""Thursday"":[""7:30–11 am"",""6–10:30 pm""],""Tuesday"":[""7:30–11 am"",""6–10:30 pm""],""Wednesday"":[""7:30–11 am"",""6–10:30 pm""]}",,"[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":false},{""name"":""Wheelchair-accessible entrance"",""enabled"":false},{""name"":""Wheelchair-accessible seating"",""enabled"":false}]}]",https://www.google.com/maps/place/Tiffen+House/data=!4m7!3m6!1s0x3ba8591cfc621a31:0x284bb92c4b61fecf!8m2!3d11.0088729!4d76.9548211!16s%2Fg%2F11c6f0dk1c!19sChIJMRpi_BxZqDsRz_5hSyy5Syg?authuser=0&hl=en&g_ep=EgoyMDI2MDkxNi4wIJJjKgBIAVAD&rclk=1,42,29,93,346,881
ChIJu6R_ZgxZqDsR6kpkJAj7nRg,Sri Mookambika Mess,South Indian restaurant,South Indian & Regional,"Ramachandra Rd, R.S. Puram, Coimbatore, Tamil Nadu 641002",R.S. Puram,Coimbatore,641002,11.006576,76.953707,3.8,476,,,1,1,0,,,,"{""Friday"":[""12:30–5:30 pm"",""7:30–10:30 pm""],""Monday"":[""12:30–5:30 pm"",""7:30–10:30 pm""],""Saturday"":[""12:30–5:30 pm"",""7:30–10:30 pm""],""Sunday"":[""12:30–5:30 pm"",""7:30–10:30 pm""],""Thursday"":[""12:30–5:30 pm"",""7:30–10:30 pm""],""Tuesday"":[""12:30–5:30 pm"",""7:30–10:30 pm""],""Wednesday"":[""12:30–5:30 pm"",""7:30–10:30 pm""]}",,"[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":false},{""name"":""Wheelchair-accessible entrance"",""enabled"":false},{""name"":""Wheelchair-accessible seating"",""enabled"":false}]}]",https://www.google.com/maps/place/Sri+Mookambika+Mess/data=!4m7!3m6!1s0x3ba8590c667fa4bb:0x189dfb0824644aea!8m2!3d11.0065762!4d76.9537069!16s%2Fg%2F11by_dn6kx!19sChIJu6R_ZgxZqDsR6kpkJAj7nRg?authuser=0&hl=en&g_ep=EgoyMDI2MDkxNi4wIJJjKgBIAVAD&rclk=1,56,21,88,120,191
ChIJhVtF8RxZqDsRogj6XsE-otY,Sree Subbu Mess - Restaurant in Coimbatore,South Indian restaurant,South Indian & Regional,"553, Diwan Bahadur Rd, R.S. Puram, Coimbatore, Tamil Nadu 641002",R.S. Puram,Coimbatore,641002,11.009588,76.950488,3.8,2107,,,1,1,0,,,,,"{""Friday"":{""0"":0,""1"":0,""10"":0,""11"":56,""12"":66,""13"":68,""14"":65,""15"":62,""16"":62,""17"":0,""18"":0,""19"":86,""2"":0,""20"":89,""21"":72,""22"":47,""23"":22,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0},""Monday"":{""0"":0,""1"":0,""10"":0,""11"":61,""12"":73,""13"":76,""14"":73,""15"":68,""16"":63,""17"":0,""18"":0,""19"":81,""2"":0,""20"":80,""21"":64,""22"":40,""23"":18,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0},""Saturday"":{""0"":0,""1"":0,""10"":0,""11"":59,""12"":71,""13"":77,""14"":76,""15"":74,""16"":71,""17"":0,""18"":0,""19"":96,""2"":0,""20"":100,""21"":87,""22"":58,""23"":30,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0},""Sunday"":{""0"":0,""1"":0,""10"":0,""11"":39,""12"":50,""13"":56,""14"":58,""15"":55,""16"":50,""17"":0,""18"":0,""19"":87,""2"":0,""20"":93,""21"":78,""22"":49,""23"":24,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0},""Thursday"":{""0"":0,""1"":0,""10"":0,""11"":54,""12"":65,""13"":65,""14"":62,""15"":59,""16"":60,""17"":0,""18"":0,""19"":83,""2"":0,""20"":81,""21"":66,""22"":44,""23"":20,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0},""Tuesday"":{""0"":0,""1"":0,""10"":0,""11"":59,""12"":71,""13"":70,""14"":65,""15"":60,""16"":60,""17"":0,""18"":0,""19"":92,""2"":0,""20"":91,""21"":71,""22"":43,""23"":20,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0},""Wednesday"":{""0"":0,""1"":0,""10"":0,""11"":59,""12"":69,""13"":70,""14"":66,""15"":60,""16"":59,""17"":0,""18"":0,""19"":85,""2"":0,""20"":86,""21"":69,""22"":42,""23"":19,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0}}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Kerbside pickup"",""enabled"":true},{""name"":""No-contact delivery"",""enabled"":true},{""name"":""Delivery"",""enabled"":true},{""name"":""On-site services"",""enabled"":true},{""name"":""Takeaway"",""enabled"":true},{""name"":""Dine-in"",""enabled"":true}]},{""id"":""popular_for"",""name"":""Popular for"",""options"":[{""name"":""Lunch"",""enabled"":true},{""name"":""Dinner"",""enabled"":true},{""name"":""Solo dining"",""enabled"":true}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible entrance"",""enabled"":true},{""name"":""Wheelchair-accessible car park"",""enabled"":false},{""name"":""Wheelchair-accessible seating"",""enabled"":false}]},{""id"":""offerings"",""name"":""Offerings"",""options"":[{""name"":""All you can eat"",""enabled"":true},{""name"":""Late-night food"",""enabled"":true},{""name"":""Small plates"",""enabled"":true},{""name"":""Vegetarian options"",""enabled"":true},{""name"":""Cuisine"",""enabled"":false,""values"":[""Chinese"",""North Indian"",""South Indian""]}]},{""id"":""dining_options"",""name"":""Dining options"",""options"":[{""name"":""Brunch"",""enabled"":true},{""name"":""Lunch"",""enabled"":true},{""name"":""Dinner"",""enabled"":true},{""name"":""Catering"",""enabled"":true},{""name"":""Seating"",""enabled"":true},{""name"":""Table service"",""enabled"":true}]},{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Gender-neutral toilets"",""enabled"":true},{""name"":""Restroom"",""enabled"":true}]},{""id"":""atmosphere"",""name"":""Atmosphere"",""options"":[{""name"":""Casual"",""enabled"":true},{""name"":""Trendy"",""enabled"":true}]},{""id"":""crowd"",""name"":""Crowd"",""options"":[{""name"":""Family friendly"",""enabled"":true},{""name"":""Groups"",""enabled"":true}]},{""id"":""planning"",""name"":""Planning"",""options"":[{""name"":""Accepts reservations"",""enabled"":true}]},{""id"":""payments"",""name"":""Payments"",""options"":[{""name"":""Credit cards"",""enabled"":true,""values"":[""Diners Club"",""Mastercard"",""VISA""]},{""name"":""Debit cards"",""enabled"":true},{""name"":""Google Pay"",""enabled"":true}]},{""id"":""children"",""name"":""Children"",""options"":[{""name"":""Good for kids"",""enabled"":true},{""name"":""Kids' menu"",""enabled"":true}]},{""id"":""parking"",""name"":""Parking"",""options"":[{""name"":""Free street parking"",""enabled"":true},{""name"":""Parking"",""enabled"":false}]}]",https://www.google.com/maps/place/Sree+Subbu+Mess+-+Restaurant+in+Coimbatore/data=!4m7!3m6!1s0x3ba8591cf1455b85:0xd6a23ec15efa08a2!8m2!3d11.0095878!4d76.9504883!16s%2Fg%2F11cn33w75k!19sChIJhVtF8RxZqDsRogj6XsE-otY?authuser=0&hl=en&g_ep=EgoyMDI2MDkxNi4wIJJjKgBIAVAD&rclk=1,195,130,359,681,742
ChIJ8xjAH2dZqDsR5c9DYpLH9hk,Salem Ravichandran Tiffen House,South Indian restaurant,South Indian & Regional,"45, Venkatasamy Rd W, Near Green Trends, R.S. Puram, Coimbatore, Tamil Nadu 641002",R.S. Puram,Coimbatore,641002,11.011796,76.947155,4.2,1604,₹1–200,https://user.thestore1.com/#/itemLists?id=125&name=Salem_Ravichandran_Tiffen_House,1,1,0,,,,"{""Friday"":[""7:30 am–11 pm""],""Monday"":[""7:30 am–11 pm""],""Saturday"":[""7:30 am–11 pm""],""Sunday"":[""7:30 am–11 pm""],""Thursday"":[""7:30 am–11 pm""],""Tuesday"":[""7:30 am–11 pm""],""Wednesday"":[""7:30 am–11 pm""]}","{""Friday"":{""10"":25,""11"":22,""12"":22,""13"":26,""14"":27,""15"":21,""16"":15,""17"":17,""18"":29,""19"":53,""20"":70,""21"":69,""22"":49,""23"":0,""6"":0,""7"":11,""8"":21,""9"":26},""Monday"":{""10"":25,""11"":22,""12"":24,""13"":30,""14"":33,""15"":25,""16"":17,""17"":19,""18"":30,""19"":52,""20"":67,""21"":66,""22"":44,""23"":0,""6"":0,""7"":12,""8"":22,""9"":27},""Saturday"":{""10"":29,""11"":26,""12"":25,""13"":29,""14"":30,""15"":23,""16"":18,""17"":22,""18"":41,""19"":67,""20"":89,""21"":90,""22"":69,""23"":0,""6"":0,""7"":10,""8"":20,""9"":27},""Sunday"":{""10"":32,""11"":22,""12"":17,""13"":15,""14"":14,""15"":12,""16"":11,""17"":19,""18"":42,""19"":77,""20"":100,""21"":95,""22"":64,""23"":0,""6"":0,""7"":16,""8"":29,""9"":35},""Thursday"":{""10"":23,""11"":20,""12"":23,""13"":26,""14"":27,""15"":21,""16"":17,""17"":20,""18"":31,""19"":51,""20"":66,""21"":63,""22"":45,""23"":0,""6"":0,""7"":11,""8"":19,""9"":24},""Tuesday"":{""10"":21,""11"":20,""12"":23,""13"":28,""14"":29,""15"":20,""16"":16,""17"":16,""18"":29,""19"":47,""20"":60,""21"":58,""22"":40,""23"":0,""6"":0,""7"":11,""8"":20,""9"":23},""Wednesday"":{""10"":23,""11"":19,""12"":20,""13"":26,""14"":27,""15"":21,""16"":17,""17"":20,""18"":32,""19"":50,""20"":66,""21"":62,""22"":42,""23"":0,""6"":0,""7"":10,""8"":20,""9"":25}}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""No-contact delivery"",""enabled"":true},{""name"":""Delivery"",""enabled"":true},{""name"":""Takeaway"",""enabled"":true},{""name"":""Dine-in"",""enabled"":true}]},{""id"":""highlights"",""name"":""Highlights"",""options"":[{""name"":""Great coffee"",""enabled"":true}]},{""id"":""popular_for"",""name"":""Popular for"",""options"":[{""name"":""Breakfast"",""enabled"":true},{""name"":""Lunch"",""enabled"":true},{""name"":""Dinner"",""enabled"":true},{""name"":""Solo dining"",""enabled"":true}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Assistive hearing loop"",""enabled"":false},{""name"":""Wheelchair-accessible car park"",""enabled"":false},{""name"":""Wheelchair-accessible entrance"",""enabled"":false},{""name"":""Wheelchair-accessible seating"",""enabled"":false}]},{""id"":""offerings"",""name"":""Offerings"",""options"":[{""name"":""Coffee"",""enabled"":true},{""name"":""Happy-hour food"",""enabled"":true},{""name"":""Healthy options"",""enabled"":true},{""name"":""Quick bite"",""enabled"":true},{""name"":""Small plates"",""enabled"":true},{""name"":""Vegan options"",""enabled"":true},{""name"":""Vegetarian options"",""enabled"":true},{""name"":""Vegetarian options only"",""enabled"":true},{""name"":""Cuisine"",""enabled"":false,""values"":[""Chinese"",""North Indian"",""South Indian""]},{""name"":""Dishes"",""enabled"":false,""values"":[""Biryani""]}]},{""id"":""dining_options"",""name"":""Dining options"",""options"":[{""name"":""Breakfast"",""enabled"":true},{""name"":""Brunch"",""enabled"":true},{""name"":""Lunch"",""enabled"":true},{""name"":""Dinner"",""enabled"":true},{""name"":""Catering"",""enabled"":true},{""name"":""Table service"",""enabled"":true}]},{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Restroom"",""enabled"":true},{""name"":""Wi-Fi"",""enabled"":true}]},{""id"":""atmosphere"",""name"":""Atmosphere"",""options"":[{""name"":""Casual"",""enabled"":true},{""name"":""Trendy"",""enabled"":true}]},{""id"":""crowd"",""name"":""Crowd"",""options"":[{""name"":""Family friendly"",""enabled"":true},{""name"":""Groups"",""enabled"":true},{""name"":""Tourists"",""enabled"":true}]},{""id"":""planning"",""name"":""Planning"",""options"":[{""name"":""Usually a wait"",""enabled"":true}]},{""id"":""payments"",""name"":""Payments"",""options"":[{""name"":""Debit cards"",""enabled"":true},{""name"":""Google Pay"",""enabled"":true},{""name"":""NFC mobile payments"",""enabled"":true},{""name"":""Credit cards"",""enabled"":false,""values"":[""Mastercard""]}]},{""id"":""children"",""name"":""Children"",""options"":[{""name"":""Good for kids"",""enabled"":true},{""name"":""Has changing table(s)"",""enabled"":true}]},{""id"":""parking"",""name"":""Parking"",""options"":[{""name"":""Free parking lot"",""enabled"":true},{""name"":""Free street parking"",""enabled"":true},{""name"":""Parking"",""enabled"":false}]},{""id"":""pets"",""name"":""Pets"",""options"":[{""name"":""Dogs allowed outside"",""enabled"":true}]}]",https://www.google.com/maps/place/Salem+Ravichandran+Tiffen+House/data=!4m7!3m6!1s0x3ba859671fc018f3:0x19f6c7926243cfe5!8m2!3d11.0117961!4d76.9471547!16s%2Fg%2F11j59kzpb4!19sChIJ8xjAH2dZqDsR5c9DYpLH9hk?authuser=0&hl=en&g_ep=EgoyMDI2MDkxNi4wIJJjKgBIAVAD&rclk=1,88,42,166,533,775
ChIJFUpQ7AdZqDsRRn2fZMMsPgk,Kerala mess,Indian restaurant,Multi-cuisine / General,"15/18, R.S. Puram, Coimbatore, Tamil Nadu 641001",R.S. Puram,Coimbatore,641001,11.001119,76.955773,4.2,5,,,0,0,0,,,,,,,https://www.google.com/maps/place/Kerala+mess/data=!4m7!3m6!1s0x3ba85907ec504a15:0x93e2cc3649f7d46!8m2!3d11.0011191!4d76.9557734!16s%2Fg%2F11vhfdtgxc!19sChIJFUpQ7AdZqDsRRn2fZMMsPgk?authuser=0&hl=en&g_ep=EgoyMDI2MDkxNi4wIJJjKgBIAVAD&rclk=1,1,0,0,0,4
ChIJ0-r8OklZqDsRCbhir4ULepw,Arya Mess,Restaurant,Multi-cuisine / General,"152, Light House Rd, R.S. Puram, Coimbatore, Tamil Nadu 641002",R.S. Puram,Coimbatore,641002,11.002863,76.95018,3.6,49,,,1,0,0,,,,"{""Friday"":[""9 am–10:30 pm""],""Monday"":[""9 am–10:30 pm""],""Saturday"":[""9 am–10:30 pm""],""Sunday"":[""9 am–10:30 pm""],""Thursday"":[""9 am–10:30 pm""],""Tuesday"":[""9 am–10:30 pm""],""Wednesday"":[""9 am–10:30 pm""]}",,,https://www.google.com/maps/place/Arya+Mess/data=!4m7!3m6!1s0x3ba859493afcead3:0x9c7a0b85af62b809!8m2!3d11.0028628!4d76.9501801!16s%2Fg%2F11fr2mrq88!19sChIJ0-r8OklZqDsRCbhir4ULepw?authuser=0&hl=en&g_ep=EgoyMDI2MDkxNi4wIJJjKgBIAVAD&rclk=1,9,3,5,12,20
ChIJoSLyJ3ZZqDsR_g9m9vE2yXA,Balu Mess,Restaurant,Multi-cuisine / General,"33,Kunnan Street, Kattoor, Coimbatore, Tamil Nadu 641009",Ram Nagar,Coimbatore,641009,11.007461,76.965435,4.8,48,₹1–200,,1,0,0,,,,,,"[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Takeaway"",""enabled"":true},{""name"":""Dine-in"",""enabled"":true}]},{""id"":""popular_for"",""name"":""Popular for"",""options"":[{""name"":""Lunch"",""enabled"":true},{""name"":""Dinner"",""enabled"":true},{""name"":""Solo dining"",""enabled"":true}]},{""id"":""dining_options"",""name"":""Dining options"",""options"":[{""name"":""Lunch"",""enabled"":true},{""name"":""Dinner"",""enabled"":true},{""name"":""Table service"",""enabled"":true}]},{""id"":""atmosphere"",""name"":""Atmosphere"",""options"":[{""name"":""Casual"",""enabled"":true}]},{""id"":""crowd"",""name"":""Crowd"",""options"":[{""name"":""Groups"",""enabled"":true}]},{""id"":""parking"",""name"":""Parking"",""options"":[{""name"":""Free street parking"",""enabled"":true},{""name"":""Parking"",""enabled"":false}]}]",https://www.google.com/maps/place/Balu+Mess/data=!4m7!3m6!1s0x3ba8597627f222a1:0x70c936f1f6660ffe!8m2!3d11.0074607!4d76.965435!16s%2Fg%2F11sfr7lj5_!19sChIJoSLyJ3ZZqDsR_g9m9vE2yXA?authuser=0&hl=en&g_ep=EgoyMDI2MDkxNi4wIJJjKgBIAVAD&rclk=1,1,0,0,8,39
ChIJ6fi8RwVZqDsR4k9fPa_fuhc,Lakshmi Mess,Indian restaurant,Multi-cuisine / General,"2X43+29V Lakshmi Mess, Thiyaki Kumaran Rd, R.S. Puram, Coimbatore, Tamil Nadu 641002",R.S. Puram,Coimbatore,641002,11.005101,76.953433,3.9,92,,,1,0,0,,,,"{""Friday"":[""7 am–4 pm""],""Monday"":[""7 am–4 pm""],""Saturday"":[""7 am–4 pm""],""Sunday"":[""7 am–4 pm""],""Thursday"":[""7 am–4 pm""],""Tuesday"":[""7 am–4 pm""],""Wednesday"":[""7 am–4 pm""]}",,"[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible seating"",""enabled"":false}]}]",https://www.google.com/maps/place/Lakshmi+Mess/data=!4m7!3m6!1s0x3ba8590547bcf8e9:0x17badfaf3d5f4fe2!8m2!3d11.0051008!4d76.9534332!16s%2Fg%2F1q6j0jjzc!19sChIJ6fi8RwVZqDsR4k9fPa_fuhc?authuser=0&hl=en&g_ep=EgoyMDI2MDkxNi4wIJJjKgBIAVAD&rclk=1,12,5,9,18,48
